Rank,Institution,Country,Academic_Reputation,Employer_Reputation,Faculty_Student_Ratio,Citations_per_Paper,Staff_with_PhD,Employability_Score,Employability_Category
143,Hitotsubashi University,Japan,47.0,97.4,50.0,4.2,33.5,50.0,Average
146,Universiti Tenaga Nasional (UNITEN),Malaysia,29.4,42.7,93.0,45.7,11.8,46.13,Average
147,South China University of Technology,China (Mainland),41.1,26.9,35.5,97.2,29.8,43.33,Average
148,University of Petroleum and Energy Studies (UPES),India,72.8,30.5,60.1,10.1,6.7,50.0,Average
149,Kazakh National Agrarian University KazNAU,Kazakhstan,63.6,53.2,99.3,1.3,27.6,52.26,Average
150,Vellore Institute of Technology (VIT),India,45.1,52.4,16.5,21.7,80.9,51.39,Average
151,Iran University of Science and Technology,"Iran, Islamic Republic of",28.9,50.9,5.1,64.0,98.3,50.48,Average
158,Bangladesh University of Engineering and Technology,Bangladesh,52.7,79.7,22.8,28.3,27.7,51.71,Average
161,"Vietnam National University, Hanoi ",Vietnam,49.9,57.3,12.6,36.0,26.5,50.0,Average
162,Hunan University ,China (Mainland),29.0,39.5,30.3,100.0,45.9,42.18,Average
165,Universiti Pendidikan Sultan Idris (UPSI),Malaysia,43.8,38.4,48.7,6.2,97.5,39.08,Poor
166,University of Seoul ,South Korea,38.0,37.8,56.9,55.9,79.2,47.1,Average
167,Karaganda Buketov University,Kazakhstan,53.0,63.7,76.2,1.4,1.2,51.51,Average
170,INTI International University,Malaysia,34.8,57.6,79.7,3.9,19.6,50.0,Average
171,"Birla Institute of Technology and Science, Pilani",India,40.2,56.9,17.7,28.0,98.0,53.76,Average
172,Universitas Brawijaya ,Indonesia,60.2,79.8,22.9,1.3,1.3,54.46,Average
179,University of Calcutta,India,53.1,27.9,10.9,8.0,95.7,50.0,Average
180,Zhengzhou University,China (Mainland),20.7,60.4,9.9,96.6,11.5,50.0,Average
181,University of Santo Tomas,Philippines,43.3,79.4,20.9,5.1,1.2,50.0,Average
182,The University of Lahore,Pakistan,40.2,58.6,22.1,44.0,1.1,50.0,Average
183,Amity University,India,37.3,38.8,20.6,8.6,66.6,43.36,Average
184,Viet Nam National University Ho Chi Minh City (VNU-HCM),Vietnam,57.8,66.5,8.5,11.6,1.8,53.57,Average
185,"Lincoln University College, Malaysia",Malaysia,31.5,42.7,76.8,4.2,75.6,62.69,Good
186,Khon Kaen University,Thailand,53.4,40.4,14.7,9.8,70.9,50.0,Average
187,Chongqing University,China (Mainland),28.0,21.2,23.2,78.7,60.3,38.14,Poor
188,Jamia Millia Islamia,India,35.3,14.3,53.4,72.7,81.8,40.71,Average
188,"Lingnan University, Hong Kong",Hong Kong SAR,35.0,28.2,18.5,51.1,90.9,41.68,Average
189,National Chung Cheng University,Taiwan,42.2,66.9,23.7,13.1,74.8,58.55,Average
192,Tokyo University of Agriculture and Technology ,Japan,45.6,31.0,24.5,7.9,93.2,47.01,Average
199,Ton Duc Thang University,Vietnam,19.6,28.3,10.1,100.0,1.1,40.11,Average
202,"University of Agriculture, Faisalabad ",Pakistan,24.0,42.9,2.6,87.4,25.8,46.3,Average
203,Banaras Hindu University,India,45.8,32.9,22.6,22.5,73.5,47.26,Average
204,Bina Nusantara University (BINUS),Indonesia,44.2,57.8,35.3,1.3,2.8,50.0,Average
205,University of Peshawar,Pakistan,25.9,38.5,84.0,66.3,,43.6,Average
206,Prince of Songkla University,Thailand,62.2,24.9,30.1,14.5,38.9,50.0,Average
209,Shiraz University,"Iran, Islamic Republic of",26.1,31.5,9.2,49.3,95.4,40.97,Average
210,Kanazawa University,Japan,36.7,18.2,75.2,17.3,80.3,53.88,Average
211,Jadavpur University,India,54.9,26.0,16.2,14.7,52.5,50.0,Average
214,Lanzhou University,China (Mainland),29.6,11.5,56.3,75.2,5.6,40.45,Average
215,East China University of Science and Technology,China (Mainland),25.8,15.7,22.6,88.1,81.9,37.52,Poor
216,Symbiosis International (Deemed University),India,21.0,86.8,43.3,7.7,27.0,50.0,Average
217,University of Electronic Science and Technology of China,China (Mainland),20.4,20.5,16.2,68.0,2.2,37.99,Poor
220,Soochow University,China (Mainland),24.7,12.3,29.3,99.2,25.9,36.47,Poor
224,King Mongkut's University of Technology Thonburi ,Thailand,43.9,27.5,25.2,33.7,44.0,46.08,Average
225,University of Tabriz,"Iran, Islamic Republic of",22.9,22.5,4.7,82.6,,38.5,Poor
234,Shahid Beheshti University (SBU),"Iran, Islamic Republic of",29.8,33.9,8.2,25.9,2.9,42.12,Average
235,Pakistan Institute of Engineering and Applied Sciences (PIEAS),Pakistan,24.4,37.5,65.3,63.2,36.1,43.33,Average
239,University of Hyderabad,India,44.1,13.8,27.0,27.1,97.6,45.78,Average
242,National University of Uzbekistan,Uzbekistan,57.8,43.2,18.7,1.4,15.8,50.0,Average
253,BRAC University,Bangladesh,39.9,70.6,17.1,15.2,1.0,50.0,Average
259,Northwest Agriculture and Forestry University,China (Mainland),17.8,5.4,47.1,87.6,23.5,35.25,Poor
264,Karaganda State Technical University,Kazakhstan,36.5,32.1,98.3,1.0,10.9,42.99,Average
265,The Catholic University of Korea ,South Korea,17.7,13.6,99.8,26.5,79.3,46.79,Average
266,Saveetha Institute of Medical and Technical Sciences (deemed to be university),India,21.6,13.7,37.4,5.3,9.1,37.98,Poor
280,Daffodil International University,Bangladesh,34.9,59.2,7.6,18.5,1.1,50.0,Average
281,Saken Seifullin Kazakh Agrotechnical University,Kazakhstan,35.4,36.6,71.1,1.3,15.0,42.77,Average
285,"Alagappa University, Karaikudi",India,13.0,4.1,43.5,74.3,93.0,23.69,Poor
291,Institute of Business Administration (IBA),Pakistan,18.6,79.4,3.7,57.4,,50.0,Average
296,Northwest University (China),China (Mainland),16.1,5.3,69.5,64.5,17.5,35.99,Poor
297,Ocean University of China,China (Mainland),20.8,12.4,13.9,48.1,33.0,37.4,Poor
298,Huazhong Agricultural University,China (Mainland),16.7,9.3,12.1,91.5,61.0,36.72,Poor
299,Pukyong National University ,South Korea,21.7,14.4,46.9,23.0,69.7,31.96,Poor
300,Guangzhou University,China (Mainland),8.2,3.9,14.4,89.5,76.6,35.29,Poor
301,Shiraz University of Technology,"Iran, Islamic Republic of",6.7,9.9,27.6,67.7,99.9,32.86,Poor
307,Chang Jung Christian University,Taiwan,35.0,27.1,71.7,8.2,8.9,42.41,Average
329,Universitas Sumatera Utara,Indonesia,32.7,33.0,58.3,1.1,1.1,41.77,Average
330,Beijing Foreign Studies University,China (Mainland),21.7,13.6,55.2,6.0,47.1,24.97,Poor
331,Hohai University,China (Mainland),16.4,5.8,25.3,33.8,37.3,34.54,Poor
332,Fu Jen Catholic University,Taiwan,28.1,29.4,4.6,16.1,86.6,40.41,Average
341,Universiti Malaysia Perlis,Malaysia,28.6,22.9,28.3,3.0,47.9,37.17,Poor
372,Guangdong University of Technology,China (Mainland),11.8,11.0,40.3,91.0,2.2,36.45,Poor
380,Nanjing Tech University,China (Mainland),11.4,4.9,29.8,97.0,8.1,36.18,Poor
393,Shanghai Normal University,China (Mainland),19.3,6.3,19.6,79.3,24.6,36.32,Poor
399,Chitkara University,India,22.6,36.8,23.5,7.7,3.7,43.37,Average
